word2vec,1,56.9104,0.583,0.5592,0.5304
word2vec,2,56.9504,0.5818,0.5599,0.5335
word2vec,3,57.0037,0.5881,0.5595,0.5262
word2vec,4,57.1105,0.5844,0.5614,0.5346
word2vec,5,52.0945,0.5845,0.5026,0.3516
word2vec,6,57.3106,0.5931,0.5625,0.529
word2vec,7,57.1505,0.5963,0.5601,0.5207
word2vec,8,57.3372,0.5876,0.5637,0.537
word2vec,9,57.3239,0.5876,0.5635,0.5366
word2vec,10,57.4707,0.5923,0.5645,0.5347
word2vec,11,57.3773,0.5888,0.564,0.5365
word2vec,12,57.1505,0.5831,0.5622,0.5378
word2vec,13,57.1105,0.5818,0.562,0.5387
word2vec,14,57.3106,0.588,0.5633,0.5356
word2vec,15,57.2972,0.593,0.5623,0.5288
word2vec,16,57.3773,0.5934,0.5632,0.5306
word2vec,17,57.3639,0.5838,0.5648,0.5434
word2vec,18,57.4173,0.5899,0.5643,0.5362
word2vec,19,57.4973,0.5903,0.5652,0.5381
word2vec,20,57.5374,0.5913,0.5655,0.5379
word2vec,21,57.484,0.5911,0.5649,0.5365
word2vec,22,57.564,0.5927,0.5656,0.5369
word2vec,23,57.564,0.5938,0.5654,0.5354
word2vec,24,57.3773,0.5824,0.5653,0.5461
word2vec,25,57.3372,0.5868,0.5638,0.5382
word2vec,26,57.5774,0.5919,0.5659,0.5383
word2vec,27,57.5374,0.5923,0.5654,0.5367
word2vec,28,57.444,0.586,0.5654,0.5425
word2vec,29,57.4573,0.5906,0.5646,0.5364
word2vec,30,57.5507,0.5937,0.5653,0.5352
word2vec,31,57.444,0.5948,0.5638,0.5309
word2vec,32,57.4173,0.5891,0.5644,0.5373
word2vec,33,57.5107,0.5931,0.5649,0.5348
word2vec,34,57.3773,0.5861,0.5645,0.5404
word2vec,35,57.524,0.593,0.5651,0.5354
word2vec,36,57.5907,0.5946,0.5656,0.5353
word2vec,37,57.4973,0.5927,0.5648,0.535
word2vec,38,57.4039,0.5861,0.5648,0.5411
word2vec,39,57.564,0.5929,0.5656,0.5366
word2vec,40,57.4173,0.5898,0.5643,0.5363
word2vec,41,57.3106,0.5861,0.5636,0.5382
word2vec,42,57.524,0.593,0.5651,0.5353
word2vec,43,57.5107,0.5933,0.5649,0.5345
word2vec,44,57.5507,0.5928,0.5654,0.5363
word2vec,45,57.484,0.5908,0.5649,0.537
word2vec,46,57.4573,0.5929,0.5643,0.5336
word2vec,47,57.4973,0.5925,0.5648,0.5352
word2vec,48,57.484,0.5903,0.565,0.5376
word2vec,49,57.3773,0.5843,0.5649,0.543
word2vec,50,57.4039,0.59,0.5641,0.5357
glove,1,78.3351,0.7864,0.7811,0.7816
glove,2,79.6425,0.7964,0.7968,0.7963
glove,3,79.1756,0.7966,0.7891,0.7896
glove,4,80.0694,0.8006,0.801,0.8006
glove,5,80.4963,0.8047,0.805,0.8048
glove,6,80.5363,0.8063,0.8041,0.8045
glove,7,80.6297,0.8063,0.8067,0.8062
glove,8,80.4429,0.8043,0.8039,0.8041
glove,9,80.8831,0.8094,0.8097,0.8088
glove,10,80.8164,0.8086,0.8071,0.8075
glove,11,80.7231,0.807,0.8068,0.8069
glove,12,81.0966,0.8107,0.8108,0.8107
glove,13,80.643,0.8125,0.8036,0.8043
glove,14,81.4301,0.8146,0.815,0.8143
glove,15,81.0699,0.8104,0.8107,0.8105
glove,16,81.0566,0.8146,0.8083,0.809
glove,17,79.8426,0.8062,0.8013,0.798
glove,18,80.5896,0.8113,0.8083,0.8057
glove,19,80.9899,0.8096,0.8099,0.8097
glove,20,81.2433,0.8122,0.8121,0.8121
glove,21,81.3767,0.8135,0.8134,0.8135
glove,22,80.643,0.8068,0.8071,0.8064
glove,23,81.1099,0.8116,0.8119,0.8111
glove,24,81.1366,0.8121,0.8102,0.8106
glove,25,81.3767,0.8135,0.8138,0.8136
glove,26,81.2033,0.8118,0.8122,0.8119
glove,27,81.1366,0.8117,0.812,0.8113
glove,28,81.2967,0.8136,0.8139,0.813
glove,29,81.3901,0.8145,0.8148,0.8139
glove,30,81.19,0.8127,0.8107,0.8112
glove,31,81.4034,0.8147,0.815,0.814
glove,32,81.4168,0.8139,0.814,0.8139
glove,33,80.4829,0.8092,0.807,0.8047
glove,34,81.2834,0.8126,0.813,0.8127
glove,35,81.0432,0.8106,0.811,0.8104
glove,36,81.23,0.8132,0.8111,0.8115
glove,37,81.4301,0.8149,0.8132,0.8136
glove,38,81.2834,0.8126,0.8128,0.8126
glove,39,81.4968,0.8159,0.816,0.815
glove,40,81.3901,0.815,0.8125,0.8131
glove,41,81.2433,0.8129,0.8114,0.8118
glove,42,81.31,0.8133,0.8137,0.8131
glove,43,81.5902,0.8156,0.8159,0.8157
glove,44,81.3767,0.8135,0.8139,0.8136
glove,45,81.2433,0.8131,0.8134,0.8124
glove,46,81.3501,0.8137,0.8141,0.8135
glove,47,81.5635,0.8157,0.8162,0.8156
glove,48,81.5502,0.8152,0.8153,0.8153
glove,49,81.5368,0.8151,0.8155,0.8152
glove,50,81.6569,0.8172,0.8175,0.8166
fasttext,1,81.8303,0.8183,0.8176,0.8179
fasttext,2,80.4429,0.8156,0.8007,0.8011
fasttext,3,81.6169,0.8282,0.8197,0.8154
fasttext,4,79.7492,0.8165,0.7927,0.7924
fasttext,5,82.7908,0.8317,0.8299,0.8278
fasttext,6,82.2572,0.8247,0.8241,0.8226
fasttext,7,82.9909,0.8334,0.8279,0.8286
fasttext,8,83.5512,0.8369,0.8368,0.8355
fasttext,9,80.3895,0.8226,0.7992,0.7991
fasttext,10,83.9781,0.8407,0.8408,0.8398
fasttext,11,82.9642,0.8353,0.8321,0.8294
fasttext,12,81.4434,0.8327,0.8188,0.8131
fasttext,13,83.8714,0.8404,0.8372,0.8379
fasttext,14,82.9376,0.8393,0.8326,0.8289
fasttext,15,84.2316,0.8442,0.8438,0.8423
fasttext,16,81.2834,0.8299,0.8085,0.8087
fasttext,17,78.175,0.8191,0.788,0.7775
fasttext,18,83.7647,0.8414,0.8356,0.8364
fasttext,19,84.7252,0.8484,0.8461,0.8466
fasttext,20,84.0448,0.844,0.8384,0.8393
fasttext,21,84.4717,0.8457,0.8436,0.8441
fasttext,22,84.8853,0.849,0.8482,0.8485
fasttext,23,83.7513,0.8434,0.84,0.8373
fasttext,24,84.5384,0.847,0.844,0.8447
fasttext,25,84.4851,0.8458,0.8437,0.8443
fasttext,26,82.6708,0.8342,0.8238,0.8246
fasttext,27,84.4317,0.8449,0.8434,0.8438
fasttext,28,84.6985,0.8471,0.8476,0.8469
fasttext,29,84.5784,0.8459,0.8464,0.8457
fasttext,30,84.7252,0.8478,0.8463,0.8468
fasttext,31,84.3517,0.8455,0.842,0.8427
fasttext,32,83.9781,0.845,0.8421,0.8396
fasttext,33,80.9232,0.8326,0.8042,0.8038
fasttext,34,83.9381,0.8427,0.8374,0.8383
fasttext,35,84.5518,0.8484,0.8437,0.8445
fasttext,36,81.8303,0.8373,0.8227,0.8169
fasttext,37,73.2391,0.8017,0.7411,0.7205
fasttext,38,84.4717,0.8449,0.844,0.8443
fasttext,39,84.405,0.8497,0.8416,0.8426
fasttext,40,81.6702,0.8367,0.812,0.8122
fasttext,41,81.9104,0.8343,0.815,0.8155
fasttext,42,83.3911,0.8371,0.832,0.8327
fasttext,43,82.9509,0.8404,0.8261,0.8269
fasttext,44,84.6718,0.8467,0.8472,0.8467
fasttext,45,84.8853,0.8486,0.8488,0.8487
fasttext,46,85.3122,0.8529,0.8531,0.853
fasttext,47,84.3116,0.848,0.8408,0.8418
fasttext,48,84.5384,0.8488,0.8434,0.8443
fasttext,49,84.6185,0.8476,0.8475,0.8462
fasttext,50,85.0454,0.8503,0.8501,0.8502
bert,1,80.8698,0.8085,0.8082,0.8083
bert,2,81.2166,0.8124,0.8113,0.8116
bert,3,81.3234,0.8136,0.8139,0.8132
bert,4,81.1633,0.8149,0.8135,0.8116
bert,5,82.1505,0.8212,0.8215,0.8213
bert,6,82.3239,0.823,0.8232,0.8231
bert,7,82.0838,0.8209,0.8214,0.8208
bert,8,82.5774,0.8258,0.8263,0.8257
bert,9,82.6974,0.8271,0.8263,0.8265
bert,10,82.4039,0.8242,0.8247,0.824
bert,11,82.6307,0.8262,0.8267,0.8262
bert,12,82.2305,0.8233,0.8234,0.8223
bert,13,82.5107,0.8258,0.826,0.8251
bert,14,82.6441,0.8267,0.8271,0.8264
bert,15,82.7775,0.8277,0.8282,0.8277
bert,16,82.6441,0.8272,0.8253,0.8258
bert,17,82.6974,0.8267,0.827,0.8268
bert,18,82.9509,0.8296,0.8289,0.8291
bert,19,82.5907,0.8268,0.8269,0.8259
bert,20,82.1772,0.8235,0.8231,0.8218
bert,21,81.9904,0.8253,0.8223,0.8197
bert,22,82.3906,0.8239,0.8244,0.8238
bert,23,82.6574,0.8265,0.827,0.8265
bert,24,82.9109,0.8289,0.8291,0.8289
bert,25,82.2839,0.8234,0.8237,0.8228
bert,26,82.8575,0.8288,0.8278,0.8281
bert,27,82.8975,0.8293,0.8297,0.8289
bert,28,82.3106,0.8241,0.8242,0.8231
bert,29,82.5507,0.8252,0.8254,0.8253
