word2vec,1,56.897,0.5777,0.5602,0.5385
word2vec,2,57.0304,0.5855,0.5602,0.5306
word2vec,3,57.1371,0.5872,0.5612,0.5314
word2vec,4,57.2439,0.5877,0.5625,0.534
word2vec,5,57.524,0.5923,0.5652,0.5362
word2vec,6,57.2038,0.5864,0.5622,0.5346
word2vec,7,57.1905,0.5851,0.5623,0.5361
word2vec,8,57.3639,0.5889,0.5638,0.536
word2vec,9,57.3239,0.5853,0.564,0.5399
word2vec,10,57.524,0.592,0.5652,0.5365
word2vec,11,57.4173,0.5902,0.5642,0.5358
word2vec,12,57.444,0.5826,0.5662,0.548
word2vec,13,57.444,0.5837,0.5659,0.5461
word2vec,14,57.4973,0.5888,0.5655,0.54
word2vec,15,57.4306,0.5909,0.5643,0.5353
word2vec,16,57.4573,0.5904,0.5647,0.5367
word2vec,17,57.6041,0.5907,0.5665,0.5406
word2vec,18,57.524,0.586,0.5664,0.5449
word2vec,19,57.444,0.5877,0.565,0.54
word2vec,20,57.6307,0.5948,0.5661,0.5361
glove,1,78.9755,0.7914,0.7911,0.7897
glove,2,79.309,0.7968,0.7951,0.793
glove,3,79.7092,0.7998,0.7988,0.797
glove,4,79.4557,0.7973,0.7925,0.7931
glove,5,79.2956,0.8002,0.7957,0.7925
glove,6,80.0027,0.8007,0.8009,0.8
glove,7,80.3495,0.8041,0.8044,0.8035
glove,8,80.2561,0.8056,0.8044,0.8025
glove,9,80.1628,0.8027,0.8027,0.8016
glove,10,79.6558,0.805,0.7996,0.796
glove,11,80.7631,0.8075,0.808,0.8075
glove,12,80.5496,0.8056,0.8047,0.805
glove,13,80.7364,0.809,0.8087,0.8074
glove,14,80.9098,0.8088,0.809,0.8089
glove,15,80.6163,0.8083,0.8077,0.8061
glove,16,81.2433,0.8123,0.8127,0.8123
glove,17,81.2567,0.8125,0.8129,0.8125
glove,18,81.0432,0.8116,0.8116,0.8104
glove,19,79.7492,0.8049,0.8003,0.7971
glove,20,80.6964,0.8093,0.8086,0.8069
fasttext,1,82.2972,0.8227,0.8231,0.8228
fasttext,2,76.5208,0.805,0.7582,0.7538
fasttext,3,83.2044,0.832,0.8324,0.832
fasttext,4,80.2028,0.8188,0.8062,0.8007
fasttext,5,83.8047,0.8378,0.8378,0.8378
fasttext,6,83.6313,0.8366,0.837,0.8363
fasttext,7,83.6313,0.837,0.8373,0.8363
fasttext,8,79.7359,0.822,0.8024,0.7951
fasttext,9,83.4312,0.8378,0.8362,0.8342
fasttext,10,84.2983,0.8443,0.8442,0.843
fasttext,11,83.4045,0.8361,0.8325,0.8331
fasttext,12,84.0982,0.8425,0.8423,0.841
fasttext,13,82.4573,0.8337,0.8214,0.8221
fasttext,14,84.4184,0.8452,0.8453,0.8442
fasttext,15,84.285,0.8433,0.8436,0.8428
fasttext,16,84.5918,0.8459,0.8464,0.8459
fasttext,17,84.6051,0.846,0.8465,0.846
fasttext,18,84.3517,0.844,0.8444,0.8435
fasttext,19,84.9253,0.849,0.8492,0.8491
fasttext,20,84.8719,0.8485,0.8486,0.8485
bert,1,81.2967,0.8127,0.813,0.8128
bert,2,81.2567,0.8123,0.8125,0.8124
bert,3,81.6169,0.8173,0.8173,0.8162
bert,4,81.7503,0.8178,0.8182,0.8175
bert,5,81.0566,0.817,0.8132,0.8103
bert,6,82.3372,0.8232,0.823,0.8231
bert,7,81.9637,0.8209,0.8208,0.8196
bert,8,82.2705,0.8225,0.8229,0.8226
bert,9,82.3372,0.8232,0.823,0.8231
bert,10,82.4039,0.8238,0.824,0.8239
bert,11,82.6974,0.8268,0.8266,0.8267
bert,12,82.1238,0.8219,0.8222,0.8212
bert,13,82.5107,0.8252,0.8244,0.8247
bert,14,82.1105,0.8229,0.8195,0.8202
bert,15,82.6307,0.8277,0.8276,0.8263
bert,16,82.4039,0.8238,0.824,0.8239
bert,17,82.4173,0.8246,0.8232,0.8236
bert,18,82.9776,0.8295,0.8298,0.8296
bert,19,82.8175,0.8279,0.8279,0.8279
bert,20,82.6708,0.8265,0.8269,0.8266
sbert,1,84.8986,0.8489,0.8486,0.8487
sbert,2,85.9258,0.8591,0.8595,0.8592
sbert,3,85.9258,0.8594,0.8599,0.8592
sbert,4,85.7257,0.8583,0.8562,0.8567
sbert,5,85.5656,0.8588,0.8539,0.8547
sbert,6,86.2193,0.8621,0.8618,0.8619
sbert,7,85.8591,0.8602,0.8573,0.8579
sbert,8,86.0993,0.8609,0.8606,0.8607
sbert,9,86.1526,0.8617,0.861,0.8612
sbert,10,86.4328,0.8641,0.8643,0.8642
sbert,11,86.6195,0.8663,0.8668,0.8662
sbert,12,85.8991,0.8623,0.8572,0.8581
sbert,13,86.2727,0.8632,0.8619,0.8623
sbert,14,86.4461,0.8664,0.8631,0.8638
sbert,15,86.8196,0.868,0.8683,0.8681
sbert,16,86.8863,0.8686,0.8689,0.8687
sbert,17,87.0731,0.8706,0.8711,0.8707
sbert,18,86.1793,0.8647,0.8601,0.861
sbert,19,86.8063,0.8679,0.8683,0.868
sbert,20,86.913,0.8689,0.869,0.869
simcse,1,82.1905,0.8252,0.8199,0.8206
simcse,2,82.564,0.8255,0.8259,0.8255
simcse,3,82.8175,0.83,0.8266,0.8273
simcse,4,83.4845,0.8346,0.8347,0.8346
simcse,5,83.1243,0.8321,0.8301,0.8306
simcse,6,82.5107,0.8287,0.8271,0.825
simcse,7,83.1377,0.8323,0.8302,0.8307
simcse,8,83.3511,0.8335,0.834,0.8335
simcse,9,83.2978,0.8327,0.833,0.8328
simcse,10,83.2044,0.8329,0.8331,0.832
simcse,11,82.9109,0.8301,0.8302,0.8291
simcse,12,83.0309,0.8306,0.831,0.8303
simcse,13,83.2444,0.8328,0.8316,0.8319
simcse,14,83.3511,0.8342,0.8324,0.8329
simcse,15,83.698,0.8371,0.8363,0.8366
simcse,16,83.658,0.8364,0.8363,0.8363
simcse,17,83.5512,0.8354,0.8351,0.8352
simcse,18,83.7247,0.837,0.8372,0.8371
